"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score",
"08/02/25 09:22 AM",2,"Wellington Jighere",493,"Chris Lipe",453,"Second"
"08/02/25 09:25 AM",2,"Mpakaboari Jack",481,"Brian Bowman",392,"First"
"08/02/25 09:25 AM",2,"Rob Robinsky",495,"Laurie Cohen",442,"First"
"08/02/25 09:26 AM",2,"Robert Linn",489,"Geoff Thevenot",364,"First"
"08/02/25 09:37 AM",2,"Waseem Khatri",433,"Eta Karo",424,"First"
"08/02/25 09:49 AM",3,"Alec Sjöholm",540,"Dennis Ikekeregor",419,"First"
"08/02/25 10:01 AM",3,"Rasheed Balogun",561,"Tim Weiss",381,"First"
"08/02/25 10:07 AM",3,"Winter",488,"Sammy Okosagah",450,"Second"
"08/02/25 10:08 AM",3,"Kevin Fraley",512,"Scott Jackson",378,"First"
"08/02/25 10:13 AM",3,"Wellington Jighere",423,"Austin Shin",383,"First"
"08/02/25 10:15 AM",3,"Dave Wiegand",491,"Joel Wapnick",367,"First"
"08/02/25 10:17 AM",3,"Mark Kenas",434,"Puneet Sharma",418,"Second"
"08/02/25 10:19 AM",3,"Waseem Khatri",665,"Robert Linn",328,"First"
"08/02/25 10:19 AM",3,"Becky Dyer",443,"Emmanuel Egbele",419,"Second"
"08/02/25 10:20 AM",3,"Josh Sokol",508,"Enoch Nwali",494,"Second"
"08/02/25 10:22 AM",3,"Eta Karo",441,"Geoff Thevenot",318,"First"
"08/02/25 10:24 AM",3,"Mpakaboari Jack",421,"Brad Whitmarsh",404,"Second"
"08/02/25 10:26 AM",3,"Chris Lipe",454,"David Whitley",343,"First"
"08/02/25 10:28 AM",3,"Brian Bowman",472,"Ben Schoenbrun",417,"Second"
"08/02/25 10:29 AM",3,"Joshua Castellano",475,"Laurie Cohen",424,"First"
"08/02/25 10:33 AM",3,"Peter Armstrong",458,"Rob Robinsky",418,"First"
"08/02/25 12:43 PM",4,"Scott Jackson",454,"Geoff Thevenot",394,"Second"
"08/02/25 12:44 PM",4,"Dave Wiegand",586,"Alec Sjöholm",318,"Second"
"08/02/25 12:45 PM",4,"Sammy Okosagah",417,"Dennis Ikekeregor",364,"Second"
"08/02/25 12:47 PM",4,"Emmanuel Egbele",432,"Enoch Nwali",394,"First"
"08/02/25 12:48 PM",4,"David Whitley",542,"Waseem Khatri",331,"First"
"08/02/25 12:50 PM",4,"Becky Dyer",518,"Mpakaboari Jack",408,"Second"
"08/02/25 12:51 PM",4,"Eta Karo",470,"Kevin Fraley",435,"First"
"08/02/25 12:52 PM",4,"Winter",482,"Ben Schoenbrun",411,"First"
"08/02/25 12:53 PM",4,"Brad Whitmarsh",592,"Robert Linn",329,"Second"
"08/02/25 12:53 PM",4,"Brian Bowman",641,"Rob Robinsky",406,"First"
"08/02/25 12:53 PM",4,"Joel Wapnick",488,"Akeem Adekunle",453,"First"
"08/02/25 12:53 PM",4,"Peter Armstrong",531,"Austin Shin",454,"Second"
"08/02/25 12:54 PM",4,"Chris Lipe",490,"Laurie Cohen",315,"Second"
"08/02/25 12:54 PM",4,"Mark Kenas",402,"Wellington Jighere",368,"First"
"08/02/25 12:56 PM",4,"Rasheed Balogun",489,"Puneet Sharma",353,"Second"
"08/02/25 12:59 PM",4,"Joshua Castellano",491,"Josh Sokol",324,"Second"
"08/02/25 01:34 PM",5,"Wellington Jighere",471,"Winter",432,"First"
"08/02/25 01:37 PM",5,"Dave Wiegand",470,"Becky Dyer",363,"Second"
"08/02/25 01:44 PM",5,"Tim Weiss",513,"Sammy Okosagah",404,"First"
"08/02/25 01:45 PM",5,"Scott Jackson",449,"Robert Linn",301,"First"
"08/02/25 01:49 PM",5,"Mark Kenas",415,"Ben Schoenbrun",398,"Second"
"08/02/25 01:50 PM",5,"Brad Whitmarsh",378,"Geoff Thevenot",332,"First"
"08/02/25 01:51 PM",5,"Austin Shin",547,"Rob Robinsky",328,"Second"
"08/02/25 01:51 PM",5,"Enoch Nwali",488,"Eta Karo",444,"First"
"08/02/25 01:54 PM",5,"Joshua Castellano",468,"Alec Sjöholm",453,"First"
"08/02/25 01:56 PM",5,"Peter Armstrong",518,"Brian Bowman",367,"First"
"08/02/25 01:57 PM",5,"Puneet Sharma",463,"Joel Wapnick",356,"Second"
"08/02/25 01:57 PM",5,"Akeem Adekunle",418,"Chris Lipe",383,"First"
"08/02/25 01:58 PM",5,"Waseem Khatri",415,"Kevin Fraley",373,"Second"
"08/02/25 01:59 PM",5,"Laurie Cohen",499,"Rasheed Balogun",491,"Second"
"08/02/25 02:00 PM",5,"David Whitley",454,"Emmanuel Egbele",414,"First"
"08/02/25 02:03 PM",5,"Josh Sokol",389,"Mpakaboari Jack",331,"First"
"08/02/25 02:34 PM",6,"Geoff Thevenot",573,"Tim Weiss",375,"First"
"08/02/25 02:34 PM",6,"Wellington Jighere",497,"Scott Jackson",480,"Second"
"08/02/25 02:37 PM",6,"Rob Robinsky",457,"Dennis Ikekeregor",321,"Second"
"08/02/25 02:37 PM",6,"Sammy Okosagah",521,"Ben Schoenbrun",443,"Second"
"08/02/25 02:43 PM",6,"Austin Shin",478,"Laurie Cohen",333,"First"
"08/02/25 02:45 PM",6,"Alec Sjöholm",503,"Rasheed Balogun",361,"First"
"08/02/25 02:47 PM",6,"Chris Lipe",476,"Brian Bowman",355,"First"
"08/02/25 02:48 PM",6,"Kevin Fraley",497,"Brad Whitmarsh",402,"Second"
"08/02/25 02:48 PM",6,"Winter",483,"Josh Sokol",429,"First"
"08/02/25 02:49 PM",6,"David Whitley",505,"Becky Dyer",368,"Second"
"08/02/25 02:50 PM",6,"Enoch Nwali",521,"Waseem Khatri",445,"Second"
"08/02/25 02:51 PM",6,"Emmanuel Egbele",447,"Eta Karo",385,"First"
"08/02/25 02:52 PM",6,"Joshua Castellano",457,"Dave Wiegand",395,"Second"
"08/02/25 02:53 PM",6,"Mark Kenas",493,"Mpakaboari Jack",404,"First"
"08/02/25 03:01 PM",6,"Joel Wapnick",396,"Peter Armstrong",393,"First"
"08/02/25 03:03 PM",6,"Akeem Adekunle",356,"Puneet Sharma",324,"Second"
"08/02/25 03:32 PM",7,"Sammy Okosagah",540,"Robert Linn",395,"Second"
"08/02/25 03:34 PM",7,"Tim Weiss",457,"Ben Schoenbrun",324,"Second"
"08/02/25 03:36 PM",7,"Scott Jackson",489,"Winter",367,"First"
"08/02/25 03:38 PM",7,"Rasheed Balogun",399,"Wellington Jighere",356,"First"
"08/02/25 03:39 PM",7,"Brad Whitmarsh",475,"Eta Karo",443,"Second"
"08/02/25 03:39 PM",7,"David Whitley",485,"Dave Wiegand",464,"First"
"08/02/25 03:43 PM",7,"Dennis Ikekeregor",417,"Geoff Thevenot",367,"First"
"08/02/25 03:46 PM",7,"Becky Dyer",488,"Joshua Castellano",430,"Second"
"08/02/25 03:48 PM",7,"Josh Sokol",518,"Mark Kenas",499,"First"
"08/02/25 03:50 PM",7,"Brian Bowman",435,"Akeem Adekunle",341,"First"
"08/02/25 03:51 PM",7,"Waseem Khatri",478,"Emmanuel Egbele",359,"First"
"08/02/25 03:53 PM",7,"Mpakaboari Jack",397,"Alec Sjöholm",379,"First"
"08/02/25 03:56 PM",7,"Peter Armstrong",487,"Enoch Nwali",401,"Second"
"08/02/25 03:58 PM",7,"Chris Lipe",434,"Kevin Fraley",390,"Second"
"08/02/25 04:03 PM",7,"Austin Shin",492,"Puneet Sharma",330,"First"
"08/02/25 04:05 PM",7,"Laurie Cohen",483,"Joel Wapnick",405,"First"
"08/03/25 07:45 AM",8,"Alec Sjöholm",475,"Enoch Nwali",415,"First"
"08/03/25 07:56 AM",8,"Winter",459,"Mpakaboari Jack",385,"First"
"08/03/25 07:56 AM",8,"Robert Linn",462,"Dennis Ikekeregor",407,"First"
"08/03/25 07:57 AM",8,"Dave Wiegand",449,"Mark Kenas",284,"First"
"08/03/25 07:57 AM",8,"Wellington Jighere",566,"Emmanuel Egbele",382,"First"
"08/03/25 07:58 AM",8,"Scott Jackson",520,"Austin Shin",485,"Second"
"08/03/25 07:59 AM",8,"Eta Karo",418,"Sammy Okosagah",393,"Second"
"08/03/25 08:01 AM",8,"Kevin Fraley",553,"Rasheed Balogun",381,"First"
"08/03/25 08:01 AM",8,"Josh Sokol",445,"Becky Dyer",435,"Second"
"08/03/25 08:02 AM",8,"Geoff Thevenot",463,"Puneet Sharma",389,"First"
"08/03/25 08:04 AM",8,"Joel Wapnick",468,"Brian Bowman",394,"Second"
"08/03/25 08:04 AM",8,"Chris Lipe",442,"Peter Armstrong",405,"Second"
"08/03/25 08:04 AM",8,"Waseem Khatri",467,"Brad Whitmarsh",457,"Second"
"08/03/25 08:06 AM",8,"Rob Robinsky",456,"Tim Weiss",375,"Second"
"08/03/25 08:06 AM",8,"Joshua Castellano",475,"David Whitley",449,"Second"
"08/03/25 08:10 AM",8,"Akeem Adekunle",408,"Laurie Cohen",302,"First"
"08/03/25 08:41 AM",9,"Winter",503,"Enoch Nwali",331,"Second"
"08/03/25 08:47 AM",9,"Wellington Jighere",523,"Mpakaboari Jack",461,"Second"
"08/03/25 08:49 AM",9,"Dave Wiegand",492,"Josh Sokol",289,"Second"
"08/03/25 08:49 AM",9,"Brian Bowman",462,"Sammy Okosagah",381,"Second"
"08/03/25 08:54 AM",9,"Emmanuel Egbele",482,"Alec Sjöholm",362,"First"
"08/03/25 08:56 AM",9,"Scott Jackson",483,"Waseem Khatri",375,"First"
"08/03/25 08:59 AM",9,"Robert Linn",398,"Ben Schoenbrun",394,"Second"
"08/03/25 08:59 AM",9,"Chris Lipe",533,"Joshua Castellano",419,"First"
"08/03/25 09:01 AM",9,"Eta Karo",389,"Rasheed Balogun",334,"First"
"08/03/25 09:02 AM",9,"Joel Wapnick",533,"Rob Robinsky",390,"Second"
"08/03/25 09:03 AM",9,"Peter Armstrong",441,"Brad Whitmarsh",374,"First"
"08/03/25 09:03 AM",9,"Dennis Ikekeregor",430,"Puneet Sharma",421,"Second"
"08/03/25 09:07 AM",9,"Austin Shin",450,"Becky Dyer",382,"First"
"08/03/25 09:08 AM",9,"David Whitley",443,"Mark Kenas",349,"Second"
"08/03/25 09:08 AM",9,"Laurie Cohen",404,"Tim Weiss",401,"First"
"08/03/25 09:14 AM",9,"Kevin Fraley",453,"Akeem Adekunle",420,"First"
"08/03/25 09:37 AM",10,"Enoch Nwali",488,"Akeem Adekunle",315,"Second"
"08/03/25 09:45 AM",10,"Wellington Jighere",430,"Waseem Khatri",410,"Second"
"08/03/25 09:51 AM",10,"Rasheed Balogun",456,"Geoff Thevenot",349,"First"
"08/03/25 09:52 AM",10,"Ben Schoenbrun",475,"Dennis Ikekeregor",457,"Second"
"08/03/25 09:53 AM",10,"Joshua Castellano",430,"Scott Jackson",419,"First"
"08/03/25 09:56 AM",10,"Mpakaboari Jack",429,"Emmanuel Egbele",320,"First"
"08/03/25 09:58 AM",10,"Mark Kenas",488,"Winter",461,"Second"
"08/03/25 09:59 AM",10,"Alec Sjöholm",422,"Becky Dyer",391,"First"
"08/03/25 10:00 AM",10,"Brad Whitmarsh",481,"Joel Wapnick",447,"Second"
"08/03/25 10:01 AM",10,"Puneet Sharma",535,"Robert Linn",348,"First"
"08/03/25 10:03 AM",10,"Rob Robinsky",504,"Sammy Okosagah",495,"First"
"08/03/25 10:05 AM",10,"Tim Weiss",426,"Brian Bowman",388,"Second"
"08/03/25 10:05 AM",10,"Chris Lipe",449,"Dave Wiegand",418,"Second"
"08/03/25 10:05 AM",10,"Peter Armstrong",532,"Eta Karo",423,"Second"
"08/03/25 10:07 AM",10,"Josh Sokol",468,"David Whitley",365,"Second"
"08/03/25 10:23 AM",10,"Kevin Fraley",399,"Austin Shin",397,"First"
"08/03/25 01:01 PM",11,"Rob Robinsky",479,"Rasheed Balogun",378,"Second"
"08/03/25 12:41 PM",11,"Wellington Jighere",468,"Joshua Castellano",389,"First"
"08/03/25 12:43 PM",11,"Enoch Nwali",487,"Brad Whitmarsh",299,"Second"
"08/03/25 12:44 PM",11,"Robert Linn",446,"Akeem Adekunle",334,"First"
"08/03/25 12:45 PM",11,"Ben Schoenbrun",500,"Puneet Sharma",436,"Second"
"08/03/25 12:47 PM",11,"Tim Weiss",436,"Dennis Ikekeregor",383,"First"
"08/03/25 12:47 PM",11,"Brian Bowman",473,"Geoff Thevenot",429,"Second"
"08/03/25 12:50 PM",11,"Becky Dyer",489,"Waseem Khatri",318,"First"
"08/03/25 12:51 PM",11,"Mark Kenas",487,"Scott Jackson",437,"First"
"08/03/25 12:52 PM",11,"Peter Armstrong",545,"Dave Wiegand",378,"First"
"08/03/25 12:54 PM",11,"Laurie Cohen",425,"Mpakaboari Jack",344,"First"
"08/03/25 12:55 PM",11,"Josh Sokol",570,"Chris Lipe",254,"Second"
"08/03/25 12:56 PM",11,"Austin Shin",521,"Eta Karo",366,"First"
"08/03/25 12:57 PM",11,"David Whitley",514,"Kevin Fraley",416,"First"
"08/03/25 12:58 PM",11,"Joel Wapnick",449,"Emmanuel Egbele",355,"Second"
"08/03/25 12:58 PM",11,"Alec Sjöholm",430,"Winter",378,"Second"
"08/03/25 01:32 PM",12,"Becky Dyer",459,"Enoch Nwali",401,"Second"
"08/03/25 01:35 PM",12,"Dennis Ikekeregor",496,"Akeem Adekunle",295,"Second"
"08/03/25 01:35 PM",12,"Dave Wiegand",470,"Wellington Jighere",429,"First"
"08/03/25 01:39 PM",12,"Ben Schoenbrun",462,"Geoff Thevenot",373,"Second"
"08/03/25 01:46 PM",12,"Alec Sjöholm",440,"Mark Kenas",418,"Second"
"08/03/25 01:48 PM",12,"Sammy Okosagah",448,"Puneet Sharma",309,"First"
"08/03/25 01:49 PM",12,"Winter",397,"Chris Lipe",389,"Second"
"08/03/25 01:49 PM",12,"Joshua Castellano",629,"Kevin Fraley",414,"First"
"08/03/25 01:51 PM",12,"Rasheed Balogun",401,"Emmanuel Egbele",383,"Second"
"08/03/25 01:51 PM",12,"Eta Karo",445,"Laurie Cohen",403,"First"
"08/03/25 01:54 PM",12,"Robert Linn",462,"Tim Weiss",455,"Second"
"08/03/25 01:55 PM",12,"Scott Jackson",437,"David Whitley",411,"First"
"08/03/25 01:58 PM",12,"Brad Whitmarsh",451,"Austin Shin",449,"First"
"08/03/25 02:00 PM",12,"Josh Sokol",514,"Peter Armstrong",418,"First"
"08/03/25 02:01 PM",12,"Mpakaboari Jack",476,"Rob Robinsky",446,"First"
"08/03/25 02:01 PM",12,"Waseem Khatri",465,"Joel Wapnick",465,"Second"
"08/03/25 02:31 PM",13,"Akeem Adekunle",444,"Ben Schoenbrun",373,"First"
"08/03/25 02:35 PM",13,"Laurie Cohen",525,"Scott Jackson",332,"First"
"08/03/25 02:37 PM",13,"Enoch Nwali",427,"Kevin Fraley",373,"First"
"08/03/25 02:40 PM",13,"Sammy Okosagah",421,"Geoff Thevenot",381,"First"
"08/03/25 02:40 PM",13,"Eta Karo",506,"Brian Bowman",423,"Second"
"08/03/25 02:42 PM",13,"Wellington Jighere",477,"Josh Sokol",430,"First"
"08/03/25 02:43 PM",13,"Chris Lipe",468,"Alec Sjöholm",382,"Second"
"08/03/25 02:43 PM",13,"Dennis Ikekeregor",403,"Emmanuel Egbele",392,"First"
"08/03/25 02:43 PM",13,"Waseem Khatri",535,"Tim Weiss",459,"First"
"08/03/25 02:48 PM",13,"David Whitley",426,"Peter Armstrong",416,"Second"
"08/03/25 02:48 PM",13,"Dave Wiegand",505,"Austin Shin",480,"First"
"08/03/25 02:50 PM",13,"Robert Linn",417,"Mpakaboari Jack",326,"First"
"08/03/25 02:50 PM",13,"Joshua Castellano",486,"Mark Kenas",431,"First"
"08/03/25 02:55 PM",13,"Becky Dyer",440,"Joel Wapnick",332,"First"
"08/03/25 02:57 PM",13,"Rob Robinsky",536,"Winter",400,"First"
"08/03/25 02:59 PM",13,"Puneet Sharma",473,"Brad Whitmarsh",395,"First"
"08/03/25 03:21 PM",14,"Dave Wiegand",509,"Scott Jackson",342,"Second"
"08/03/25 03:25 PM",14,"Austin Shin",595,"Enoch Nwali",356,"First"
"08/03/25 03:34 PM",14,"Dennis Ikekeregor",500,"Brian Bowman",360,"Second"
"08/03/25 03:35 PM",14,"Akeem Adekunle",452,"Geoff Thevenot",415,"Second"
"08/03/25 03:37 PM",14,"David Whitley",428,"Alec Sjöholm",424,"First"
"08/03/25 03:38 PM",14,"Winter",497,"Becky Dyer",482,"First"
"08/03/25 03:40 PM",14,"Wellington Jighere",451,"Peter Armstrong",354,"First"
"08/03/25 03:46 PM",14,"Sammy Okosagah",411,"Rasheed Balogun",363,"Second"
"08/03/25 03:50 PM",14,"Waseem Khatri",446,"Ben Schoenbrun",434,"First"
"08/03/25 03:53 PM",14,"Brad Whitmarsh",521,"Laurie Cohen",376,"First"
"08/03/25 03:53 PM",14,"Tim Weiss",459,"Puneet Sharma",390,"First"
"08/03/25 03:55 PM",14,"Mark Kenas",446,"Chris Lipe",434,"Second"
"08/03/25 03:58 PM",14,"Joel Wapnick",455,"Kevin Fraley",400,"First"
"08/03/25 03:59 PM",14,"Joshua Castellano",411,"Josh Sokol",345,"Second"
"08/03/25 04:00 PM",14,"Eta Karo",405,"Mpakaboari Jack",370,"Second"
"08/03/25 04:00 PM",14,"Rob Robinsky",387,"Robert Linn",386,"First"
"08/04/25 07:52 AM",15,"Laurie Cohen",475,"Robert Linn",365,"First"
"08/04/25 07:53 AM",15,"Brad Whitmarsh",484,"Scott Jackson",436,"Second"
"08/04/25 07:55 AM",15,"Enoch Nwali",422,"Sammy Okosagah",390,"Second"
"08/04/25 07:59 AM",15,"Brian Bowman",504,"Puneet Sharma",424,"First"
"08/04/25 08:01 AM",15,"Winter",424,"Alec Sjöholm",423,"Second"
"08/04/25 08:01 AM",15,"Eta Karo",367,"Josh Sokol",474,"Second"
"08/04/25 08:02 AM",15,"Becky Dyer",415,"Chris Lipe",402,"First"
"08/04/25 08:03 AM",15,"Geoff Thevenot",472,"Emmanuel Egbele",344,"Second"
"08/04/25 08:04 AM",15,"David Whitley",427,"Wellington Jighere",321,"Second"
"08/04/25 08:04 AM",15,"Joshua Castellano",497,"Dave Wiegand",416,"First"
"08/04/25 08:04 AM",15,"Rasheed Balogun",469,"Ben Schoenbrun",463,"Second"
"08/04/25 08:05 AM",15,"Kevin Fraley",507,"Dennis Ikekeregor",424,"First"
"08/04/25 08:06 AM",15,"Austin Shin",501,"Joel Wapnick",382,"Second"
"08/04/25 08:07 AM",15,"Peter Armstrong",538,"Waseem Khatri",459,"First"
"08/04/25 08:08 AM",15,"Mark Kenas",453,"Rob Robinsky",440,"First"
"08/04/25 08:12 AM",15,"Tim Weiss",451,"Akeem Adekunle",425,"Second"
"08/04/25 08:30 AM",16,"Laurie Cohen",567,"Enoch Nwali",331,"Second"
"08/04/25 08:49 AM",16,"Wellington Jighere",435,"Becky Dyer",397,"Second"
"08/04/25 08:50 AM",16,"Dennis Ikekeregor",520,"Tim Weiss",313,"First"
"08/04/25 08:56 AM",16,"Alec Sjöholm",478,"Josh Sokol",389,"Second"
"08/04/25 08:56 AM",16,"Sammy Okosagah",513,"Brad Whitmarsh",434,"First"
"08/04/25 08:58 AM",16,"Scott Jackson",443,"Peter Armstrong",361,"Second"
"08/04/25 08:58 AM",16,"David Whitley",480,"Dave Wiegand",453,"Second"
"08/04/25 09:00 AM",16,"Austin Shin",475,"Waseem Khatri",380,"Second"
"08/04/25 09:00 AM",16,"Puneet Sharma",475,"Geoff Thevenot",396,"First"
"08/04/25 09:02 AM",16,"Chris Lipe",461,"Eta Karo",373,"First"
"08/04/25 09:02 AM",16,"Rasheed Balogun",513,"Brian Bowman",409,"First"
"08/04/25 09:03 AM",16,"Joshua Castellano",411,"Winter",355,"Second"
"08/04/25 09:04 AM",16,"Emmanuel Egbele",363,"Ben Schoenbrun",346,"Second"
"08/04/25 09:08 AM",16,"Robert Linn",378,"Joel Wapnick",365,"First"
"08/04/25 09:11 AM",16,"Akeem Adekunle",344,"Mpakaboari Jack",339,"Second"
"08/04/25 09:11 AM",16,"Mark Kenas",501,"Rob Robinsky",367,"Second"
"08/04/25 09:40 AM",17,"Enoch Nwali",452,"Chris Lipe",351,"Second"
"08/04/25 09:43 AM",17,"Alec Sjöholm",566,"Laurie Cohen",366,"Second"
"08/04/25 09:47 AM",17,"Geoff Thevenot",478,"Ben Schoenbrun",321,"First"
"08/04/25 09:47 AM",17,"Dennis Ikekeregor",603,"Akeem Adekunle",329,"First"
"08/04/25 09:49 AM",17,"Kevin Fraley",463,"Tim Weiss",440,"Second"
"08/04/25 09:49 AM",17,"Joshua Castellano",580,"David Whitley",490,"First"
"08/04/25 09:53 AM",17,"Joel Wapnick",522,"Eta Karo",414,"First"
"08/04/25 09:54 AM",17,"Wellington Jighere",428,"Dave Wiegand",416,"First"
"08/04/25 09:55 AM",17,"Peter Armstrong",483,"Winter",456,"Second"
"08/04/25 09:57 AM",17,"Puneet Sharma",500,"Emmanuel Egbele",296,"Second"
"08/04/25 10:00 AM",17,"Becky Dyer",689,"Mark Kenas",362,"Second"
"08/04/25 10:01 AM",17,"Rasheed Balogun",480,"Mpakaboari Jack",380,"First"
"08/04/25 10:04 AM",17,"Austin Shin",438,"Josh Sokol",379,"First"
"08/04/25 10:05 AM",17,"Waseem Khatri",467,"Sammy Okosagah",461,"Second"
"08/04/25 10:10 AM",17,"Rob Robinsky",484,"Brad Whitmarsh",433,"Second"
"08/04/25 10:12 AM",17,"Brian Bowman",439,"Robert Linn",353,"Second"
"08/04/25 01:02 PM",18,"Dennis Ikekeregor",480,"Joel Wapnick",377,"Second"
"08/04/25 01:03 PM",18,"Mark Kenas",442,"Laurie Cohen",376,"Second"
"08/04/25 01:03 PM",18,"Austin Shin",502,"Joshua Castellano",461,"First"
"08/04/25 01:04 PM",18,"Emmanuel Egbele",379,"Brian Bowman",369,"Second"
"08/04/25 01:05 PM",18,"Rob Robinsky",470,"Kevin Fraley",430,"First"
"08/04/25 12:48 PM",18,"Scott Jackson",497,"Eta Karo",444,"First"
"08/04/25 12:49 PM",18,"Sammy Okosagah",491,"Chris Lipe",398,"Second"
"08/04/25 12:50 PM",18,"Enoch Nwali",475,"Robert Linn",430,"First"
"08/04/25 12:51 PM",18,"Tim Weiss",507,"Akeem Adekunle",361,"First"
"08/04/25 12:51 PM",18,"Peter Armstrong",491,"Becky Dyer",412,"Second"
"08/04/25 12:55 PM",18,"Brad Whitmarsh",495,"Rasheed Balogun",450,"First"
"08/04/25 12:56 PM",18,"Mpakaboari Jack",444,"Geoff Thevenot",370,"First"
"08/04/25 12:56 PM",18,"Alec Sjöholm",423,"Wellington Jighere",371,"First"
"08/04/25 12:56 PM",18,"Josh Sokol",511,"Dave Wiegand",402,"Second"
"08/04/25 12:56 PM",18,"Ben Schoenbrun",441,"Puneet Sharma",436,"First"
"08/04/25 12:58 PM",18,"Winter",463,"David Whitley",453,"Second"
"08/04/25 01:43 PM",19,"Brad Whitmarsh",498,"Dennis Ikekeregor",391,"First"
"08/04/25 01:44 PM",19,"Enoch Nwali",504,"Rob Robinsky",490,"Second"
"08/04/25 01:45 PM",19,"Laurie Cohen",497,"Winter",450,"First"
"08/04/25 01:46 PM",19,"Dave Wiegand",567,"Becky Dyer",407,"First"
"08/04/25 01:48 PM",19,"Sammy Okosagah",522,"Mpakaboari Jack",395,"First"
"08/04/25 01:49 PM",19,"Akeem Adekunle",456,"Ben Schoenbrun",365,"First"
"08/04/25 01:50 PM",19,"Alec Sjöholm",487,"Austin Shin",343,"First"
"08/04/25 01:50 PM",19,"Wellington Jighere",500,"Joshua Castellano",370,"Second"
"08/04/25 01:50 PM",19,"Chris Lipe",510,"Scott Jackson",449,"Second"
"08/04/25 01:53 PM",19,"Tim Weiss",404,"Puneet Sharma",399,"First"
"08/04/25 01:53 PM",19,"Joel Wapnick",477,"Robert Linn",472,"First"
"08/04/25 01:54 PM",19,"David Whitley",487,"Rasheed Balogun",338,"Second"
"08/04/25 01:55 PM",19,"Geoff Thevenot",469,"Emmanuel Egbele",356,"First"
"08/04/25 01:57 PM",19,"Waseem Khatri",411,"Brian Bowman",378,"First"
"08/04/25 02:06 PM",19,"Kevin Fraley",470,"Josh Sokol",351,"Second"
"08/04/25 02:07 PM",19,"Peter Armstrong",441,"Mark Kenas",438,"First"
"08/04/25 02:26 PM",20,"Rob Robinsky",485,"Winter",402,"First"
"08/04/25 02:27 PM",20,"Dave Wiegand",480,"Enoch Nwali",443,"Second"
"08/04/25 02:37 PM",20,"Brad Whitmarsh",455,"Chris Lipe",370,"First"
"08/04/25 02:43 PM",20,"Becky Dyer",526,"Scott Jackson",485,"First"
"08/04/25 02:45 PM",20,"Ben Schoenbrun",483,"Brian Bowman",402,"Second"
"08/04/25 02:46 PM",20,"Dennis Ikekeregor",474,"Rasheed Balogun",460,"First"
"08/04/25 02:49 PM",20,"Wellington Jighere",642,"Josh Sokol",398,"First"
"08/04/25 02:50 PM",20,"Laurie Cohen",415,"Waseem Khatri",304,"Second"
"08/04/25 02:53 PM",20,"Tim Weiss",456,"Mpakaboari Jack",429,"Second"
"08/04/25 02:54 PM",20,"Geoff Thevenot",444,"Akeem Adekunle",320,"Second"
"08/04/25 02:55 PM",20,"Eta Karo",496,"Puneet Sharma",405,"First"
"08/04/25 02:56 PM",20,"Emmanuel Egbele",393,"Robert Linn",390,"First"
